Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.15,-.27,-.04,-.35,-.11,-.01,-.80,-.46,-.26,-.14,-.09,-.03,.05,.65
1881,-.07,-.17,.01,-.33,.11,-.06,-.90,-.43,-.19,.10,.12,-.04,-.07,.58
1882,-.10,-.21,.00,-.30,-.04,.02,-1.40,-.25,-.15,-.05,-.03,.02,.04,.61
1883,-.17,-.28,-.06,-.35,-.16,-.01,-.18,-.54,-.27,-.17,-.14,-.03,.07,.48
1884,-.28,-.43,-.14,-.60,-.14,-.14,-1.30,-.63,-.47,-.13,-.15,-.19,-.02,.63
1885,-.33,-.43,-.24,-.65,-.12,-.27,-1.51,-.67,-.46,-.06,-.19,-.33,-.15,.80
1886,-.31,-.43,-.19,-.57,-.19,-.21,-1.59,-.50,-.40,-.21,-.17,-.20,-.20,.57
1887,-.36,-.43,-.28,-.52,-.29,-.28,-1.76,-.50,-.29,-.29,-.29,-.27,-.26,.30
1888,-.17,-.23,-.11,-.42,.11,-.29,-1.30,-.42,-.25,.07,.14,-.31,-.23,.14
1889,-.10,-.17,-.03,-.29,.09,-.16,-.68,-.22,-.27,.03,.16,-.15,-.15,.43
1890,-.34,-.38,-.31,-.45,-.36,-.22,-1.13,-.55,-.27,-.26,-.45,-.17,-.27,.13
1891,-.22,-.26,-.19,-.43,-.07,-.21,-1.12,-.34,-.37,.02,-.15,-.18,-.24,-.18
1892,-.27,-.39,-.15,-.44,-.28,-.08,-1.15,-.66,-.17,-.32,-.25,.02,-.21,.07
1893,-.31,-.47,-.15,-.52,-.35,-.05,-.70,-.55,-.47,-.41,-.29,.07,-.20,-.06
1894,-.30,-.39,-.21,-.33,-.33,-.24,-.95,-.33,-.19,-.47,-.18,-.15,-.35,-.40
1895,-.22,-.30,-.14,-.41,-.06,-.26,-.67,-.53,-.27,-.13,.01,-.19,-.32,-.60
1896,-.11,-.19,-.02,-.35,.10,-.15,-.88,-.37,-.23,.06,.15,-.14,-.13,.23
1897,-.11,-.16,-.05,-.36,.17,-.23,-.56,-.47,-.24,.14,.21,-.18,-.27,.38
1898,-.27,-.29,-.26,-.36,-.21,-.26,-1.17,-.24,-.24,-.18,-.25,-.27,-.21,.36
1899,-.17,-.21,-.13,-.25,-.11,-.18,-1.07,-.11,-.15,-.15,-.07,-.14,-.22,.56
1900,-.08,-.09,-.06,-.21,.17,-.30,-.58,-.17,-.16,.09,.26,-.28,-.29,.25
1901,-.16,-.13,-.18,-.17,-.03,-.30,-.45,-.12,-.14,-.05,-.01,-.27,-.34,.24
1902,-.28,-.33,-.22,-.54,-.03,-.35,-1.42,-.52,-.32,-.02,-.05,-.28,-.43,-.07
1903,-.37,-.38,-.36,-.48,-.28,-.38,-.30,-.43,-.56,-.23,-.33,-.35,-.40,-.49
